"incidentid","statusid","flowstatusid","assignmentgroupid","summarydescription","incidentdescription","impactid","priorityid","categoryid","assignedusercode","opendate","closedate","startdate","solutiondescription","requesttypeid","calltypeid","solutionmethod","username","definitioncategoryid","definitioncategorypath"
1314012,"2","3",5768,"mail gönderme engeli","merhaba ekteki mail BMC otomotiv sanayine iletilememektedir. Müşterimiz her makinaya avans mektubu verilmiş olup BMC otomotiv imzacıların imzasını kontrol amacıyla imza sirküleri talep etmiştir. mailin iletilmesi hususunda yardımlarınızı arz ederiz.","2","4",18271,"absaglam","2026-02-13 10:08:37.707","2026-02-13 10:10:21.5","2026-02-13 09:58:19.15"," 
Mailiniz 5 dakika içerisinde karşıya iletilecektir. Tekrar göndermenize gerek yoktur.","10","3"," 
Mailiniz 5 dakika içerisinde karşıya iletilecektir. Tekrar göndermenize gerek yoktur.","absaglam",NULL,NULL
1314007,"2","3",5768,"İstisna talebi hakkında","Günlük olarak Merkez bankasına yapılan manuel ihlal bildirim sürç raporunun mailini atarken aşağıdaki bilgiyi aldık. bu mailler için istisna talebimizin değerlendirilmesini rica ederiz.","2","4",18271,"absaglam","2026-02-13 10:02:27.817","2026-02-13 10:41:51.547","2026-02-13 09:54:19.22"," 
Mailiniz 5 dakika içerisinde karşıya iletilecektir. Tekrar göndermenize gerek yoktur.","10","3"," 
Mailiniz 5 dakika içerisinde karşıya iletilecektir. Tekrar göndermenize gerek yoktur.","absaglam",NULL,NULL
1313989,"2","3",5768,"Mail gönderimi hk.","Merhaba, divitteki maili müşterimize iletirken veri güvenliğinden dolayı gönderim sağlayamadık. Gönderilmesi hususunda desteklerinizi rica eder, hayırlı çalışmalar dilerim.","2","4",18271,"absaglam","2026-02-13 09:45:26.627","2026-02-13 09:49:35.73","2026-02-13 09:41:34.357","Mailiniz 5 dakika içerisinde karşıya iletilecektir. Tekrar göndermenize gerek yoktur.","10","3","Mailiniz 5 dakika içerisinde karşıya iletilecektir. Tekrar göndermenize gerek yoktur.","absaglam",NULL,NULL
1313939,"2","3",5768,"ÇIKTI ALAMAMA - GÜVENLİK ENGELLEME","Merhaba çıktı almak istediğimde ekli hatalar alınmakta dosya ve araştırmalar için gerekli olup yardımlarınızı arz ederimç","2","4",18271,"absaglam","2026-02-13 09:36:29.013","2026-02-13 09:58:55.33","2026-02-13 08:48:13.697","Merhaba,
Aşağıdaki linkte yer alan ""DLP Ajanı Nasıl Güncellenir?"" başlığındaki adımları uyguladıktan sonra işlemi yeniden yapmayı dener misiniz?
https://bilge.kuveytturk.com.tr/genel/24374-dlp-forcepoint-one-endpoint","10","3","Merhaba,
Aşağıdaki linkte yer alan ""DLP Ajanı Nasıl Güncellenir?"" başlığındaki adımları uyguladıktan sonra işlemi yeniden yapmayı dener misiniz?
https://bilge.kuveytturk.com.tr/genel/24374-dlp-forcepoint-one-endpoint","absaglam",NULL,NULL
1313930,"2","3",5768,"Mail atabilme konusunda destek","bilirkişilik başvrusu yapabilmem için chrome olan bir bilgisayr gerekmektedir.  iş bilgisayarımı kullanamıyorum. fakat daha önce gerek kurum içinden gerek kurum dışından elde ettiğim başvuru belgelerimi başka mail adresine gönderebilme hususunda desteklerinizi rica ederim.","3","4",18271,"absaglam","2026-02-13 09:18:19.097","2026-02-13 11:49:12","2026-02-13 08:25:35.183","Mailiniz 5 dakika içerisinde karşıya iletilecektir. Tekrar göndermenize gerek yoktur.
","10","3","Mailiniz 5 dakika içerisinde karşıya iletilecektir. Tekrar göndermenize gerek yoktur.
","absaglam",NULL,NULL
1313846,"2","3",5768,"ekstre talep hakkında","istisna tanımlanması rica olunur.


Sayın Hasan Tilbeç / Kuveyt Türk - Güneşli Ticari Şubesi,

Bu içerikte bulunan özel nitelikli kişisel verileri 2026-02-12 17:06:41 tarihinde sedat@dofrobotics.com, faruk@dofrobotics.com, accounting1@dofrobotics.com, accounting@dofrobotics.com adresine göndermek istediniz. Bilgi güvenliği politikaları gereğince bu işlem engellenmiştir. Özel nitelikli kişisel verilerin hangi içerikleri barındırdığına dair bilgilere aşağıdaki linkte yer alan ""Özel Nitelikli Kişisel Veriler Nelerdir?"" başlığı altından erişim sağlayabilirsiniz. Linkteki bilgiler ile göndermek istediğiniz içerikteki bilgilere denk gelen kısımları akıştan çıkararak veri gönderimini gerçekleştirebilirsiniz.

Link: https://bilge.kuveytturk.com.tr/genel/24799-kvkr
Bu verileri akıştan çıkarmadaniş kapsamı ihtiyacından dolayı gönderilmesi gerekliyse BT Mercek Talep – Çağrı Oluştur ekranından “Yetki ve Erişim Talepleri > Veri Koruma Sistemi İstisna Tanımlama” kategorisinden çağrı oluşturabilirsiniz.

Kuveyt Türk Veri Güvenliği Ekibi","2","4",18271,"absaglam","2026-02-13 08:16:43.383","2026-02-13 09:34:58.683","2026-02-12 17:09:47.43","Mailiniz 5 dakika içerisinde karşıya iletilecektir. Tekrar göndermenize gerek yoktur.","10","3","Mailiniz 5 dakika içerisinde karşıya iletilecektir. Tekrar göndermenize gerek yoktur.","absaglam",NULL,NULL
1313841,"2","3",5768,"hesap ekstresi hk","merhabalar 98081632 numaralı hesaba bağlı mobil şubeye müşterimiz giriş yapamamaktadır. kayıtlı mail adresine hesap ektreleri iletilecektir. istisna için yardımlarınızı rica ederiz.","2","4",18271,"absaglam","2026-02-13 08:13:53.743","2026-02-13 09:36:12.287","2026-02-12 16:54:40.37","Mailiniz 5 dakika içerisinde karşıya iletilecektir. Tekrar göndermenize gerek yoktur.","10","3","Mailiniz 5 dakika içerisinde karşıya iletilecektir. Tekrar göndermenize gerek yoktur.","absaglam",NULL,NULL
1313667,"2","3",5768,"mail gönderme hayatı","merhaba

ekteki mail BMC otomotiv sanayine iletilememektedir. Müşterimiz her makinaya avans mektubu verilmiş olup BMC otomotiv imzacıların imzasını kontrol amacıyla imza sirküleri talep etmiştir. mailin iletilmesi hususunda yardımlarınızı arz ederiz.","3","4",21474,"absaglam","2026-02-12 17:29:40.363","2026-02-13 08:21:02.763","2026-02-12 11:30:59.48","Mercek talepleri iş ihtiyacının sahibi(maili gönderen , çıktı almak isteyen vb.) kendisinin açması gerekmektedir. Kendisi açtığında yardımcı olalım.","10","3","Mercek talepleri iş ihtiyacının sahibi(maili gönderen , çıktı almak isteyen vb.) kendisinin açması gerekmektedir. Kendisi açtığında yardımcı olalım.","absaglam",NULL,NULL
1313815,"2","3",5768,"İstisna Rica Ederiz","Merhaba;
Ekli mail gonderimi  gönderemiyorum, istisna konusnda değerli destekleirnizi rica ederiz


Sayın Erdoğan Azim / Kuveyt Türk - İmes Şubesi,

TCKN, IBAN veya Kart verisi maskeleme yöntemi kullanılmadan 2026-02-12 15:59:36 tarihinde muhasebe@cliopack.com adresine göndermek istediniz. Bilgi güvenliği politikaları gereğince bu işlem engellenmiştir. Bu müşteri verileri akıştan çıkartılarak veya IBAN verisi için ilk ve son 4 rakamı hariç (TR11XXXXXXXXXXXXXXXXXX1111) diğer rakamlarda maskeleme yöntemini, TCKN verisi için ilk ve son 2 rakamı hariç (11XXXXXXX11) diğer rakamlarda maskeleme yöntemini, kart verisi için ise ilk 6 ve son 4 rakamı hariç (1111 11XX XXXX 1111) diğer rakamlarda maskeleme yöntemi kullanılarak gönderim işlemini gerçekleştirebilirsiniz.

Müşteriye ait bu verileri maskelemeden iş kapsamı ihtiyacından dolayı gönderilmesi gerekliyse BT Mercek Talep – Çağrı Oluştur ekranından “Yetki ve Erişim Talepleri > Veri Koruma Sistemi İstisna Tanımlama” kategorisinden çağrı oluşturabilirsiniz.

Kuveyt Türk Veri Güvenliği Ekibi","2","4",18271,"absaglam","2026-02-12 16:54:49.887","2026-02-12 16:56:20.777","2026-02-12 16:03:58.347","Mailiniz 5 dakika içerisinde karşıya iletilecektir. Tekrar göndermenize gerek yoktur.
","10","3","Mailiniz 5 dakika içerisinde karşıya iletilecektir. Tekrar göndermenize gerek yoktur.
","absaglam",NULL,NULL
1313786,"2","3",5768,"tazmin@ihracatigelistirme.com.tr  devlet kurumuna iletilmesi gereken evraklar için istisna tanımlama hk","Merhaba,
tazmin@ihracatigelistirme.com.tr  adresine email ile belgeleri iletmemiz gerekmektedir. İstisna tanımı için desteğinizi rica ederiz.","2","4",18271,"absaglam","2026-02-12 16:07:52.233","2026-02-12 16:08:35.553","2026-02-12 15:36:18.683","Mailiniz 5 dakika içerisinde karşıya iletilecektir. Tekrar göndermenize gerek yoktur.
","10","3","Mailiniz 5 dakika içerisinde karşıya iletilecektir. Tekrar göndermenize gerek yoktur.
","absaglam",NULL,NULL
1313793,"2","3",5768,"mail atmam gerekli gitmiyor tanımalma yapabilirmsiniz.","Sayın Aytekin Karacan / Kuveyt Türk - Antalya Ticari Şubesi,

Finans ve müşteri verilerini maskeleme yöntemi kullanılmadan 2026-02-12 15:40:50 tarihinde muhasebe@perakurumsal.com.tr adresine göndermek istediniz. Bilgi güvenliği politikaları gereğince bu işlem engellenmiştir. Bu verileri akıştan çıkararak veya aşağıda belirtilen maskeleme yöntemini akışta bulunan veriler için uygulayarak veri gönderimi yapabilirsiniz.
• IBAN verisi için ilk ve son 4 rakam hariç olmak üzere TR11XXXXXXXXXXXXXXXXXX1111) diğer rakamları maskeleyiniz.
• TCKN verisi için ilk ve son 2 rakam hariç olmak üzere (11XXXXXXX11) diğer rakamları maskeleyiniz.
• Kart verisi için ise ilk 6 ve son 4 rakam hariç olmak üzere (1111 11XX XXXX 1111) diğer rakamları maskeleyiniz.
Bu verileri maskelemeden iş kapsamı ihtiyacından dolayı gönderilmesi gerekliyse BT Mercek Talep – Çağrı Oluştur ekranından “Yetki ve Erişim Talepleri > Veri Koruma Sistemi İstisna Tanımlama” kategorisinden çağrı oluşturabilirsiniz.

Kuveyt Türk Veri Güvenliği Ekibi","2","4",18271,"absaglam","2026-02-12 16:05:17.327","2026-02-12 16:07:43.023","2026-02-12 15:43:03.293","Mailiniz 5 dakika içerisinde karşıya iletilecektir. Tekrar göndermenize gerek yoktur.
","10","3","Mailiniz 5 dakika içerisinde karşıya iletilecektir. Tekrar göndermenize gerek yoktur.
","absaglam",NULL,NULL
1313739,"2","3",5768,"97445584","Merhaba 97445584 hesap numaralı müşteri dekont kaşe+ imzalı mail iletiyoruz ama aşağıda yer alan hatayı veriyor karşıya mail ulaşmamaktadır. Kouile ilgili desteklerinizi riza ederiz.","2","4",18271,"absaglam","2026-02-12 14:52:58.073","2026-02-12 14:53:41.673","2026-02-12 14:11:26.66","Mailiniz 5 dakika içerisinde karşıya iletilecektir. Tekrar göndermenize gerek yoktur.
","10","3","Mailiniz 5 dakika içerisinde karşıya iletilecektir. Tekrar göndermenize gerek yoktur.
","absaglam",NULL,NULL
1313756,"2","3",5768,"maile veri koruma istisnası rica ederiz.","elcin.oflaz@konfor.com.tr mail adresine gönderdiğim ekte görüntüsü olan maile veri koruma istisnası rica ederiz.","2","4",18271,"absaglam","2026-02-12 14:50:31.137","2026-02-12 14:51:15.34","2026-02-12 14:39:31.033","Mailiniz 5 dakika içerisinde karşıya iletilecektir. Tekrar göndermenize gerek yoktur.
","10","3","Mailiniz 5 dakika içerisinde karşıya iletilecektir. Tekrar göndermenize gerek yoktur.
","absaglam",NULL,NULL
1308997,"14",NULL,5768,"İstisna talebi hk.","Merhaba, 

İş gereksinimi kapsamında hesap numarası paylaşılmıştır.","2","4",18271,"hatasoy","2026-01-30 11:17:04.01","2026-01-30 11:18:17.327","2026-01-30 11:08:01.54","Mailiniz 5 dakika içerisinde karşıya iletilecektir. Tekrar göndermenize gerek yoktur.","10","3","Mailiniz 5 dakika içerisinde karşıya iletilecektir. Tekrar göndermenize gerek yoktur.","hatasoy",NULL,NULL
1313748,"2","3",5768,"mail istisnası","Merhaba, müşterimiz sağlık sigorta poliçe görüntülerini talep etmektedir. (halil.aykut@salkimorman.com.tr-serhat.gulpinar@salkimorman.com.tr-sahin.koroglu@salkimorman.com.tr) istisna tanımlaması için yardımlarınızı rica ederiz.","2","4",18271,"absaglam","2026-02-12 14:33:37.647","2026-02-12 14:34:23.29","2026-02-12 14:22:52.82","Mailiniz 5 dakika içerisinde karşıya iletilecektir. Tekrar göndermenize gerek yoktur.
","10","3","Mailiniz 5 dakika içerisinde karşıya iletilecektir. Tekrar göndermenize gerek yoktur.
","absaglam",NULL,NULL
1313733,"2","3",5768,"Veri koruma istisnası hk.","elcin.oflaz@konfor.com.tr mail adresine gönderdiğim leasing dekontları maili veri korumaya takıldı. istisna tanımlanmasını rica ederim. mail veri koruma uyarısı ektedir.","2","4",18271,"absaglam","2026-02-12 14:13:22.653","2026-02-12 14:14:03.587","2026-02-12 14:07:49.697","Mailiniz 5 dakika içerisinde karşıya iletilecektir. Tekrar göndermenize gerek yoktur.","10","3","Mailiniz 5 dakika içerisinde karşıya iletilecektir. Tekrar göndermenize gerek yoktur.","absaglam",NULL,NULL
1313685,"2","3",5768,"istisna hakk","ek'teki adreslere mutabakat metnini mail atamıyorum yardımcı olurmusunuz?
Ahmet Candan <ahmet.candan@ozpet.com.tr>; denetim@centrumturkey.com; kameri.yurdakul@centrumturkey.com'Uğur Değirmendere' <finans@ozpet.com.tr>","2","4",18271,"absaglam","2026-02-12 14:12:31.813","2026-02-12 14:13:10.723","2026-02-12 12:07:15.717","Mailiniz 5 dakika içerisinde karşıya iletilecektir. Tekrar göndermenize gerek yoktur.","10","3","Mailiniz 5 dakika içerisinde karşıya iletilecektir. Tekrar göndermenize gerek yoktur.","absaglam",NULL,NULL
1313695,"2","3",5768,"Müşteriye poliçe gönderimi istisna tanımlama","95022669 nolu müşterinin katılım emeklilik poliçesinin iletimi için istisna tanımlaması hususunda yardımlarınızı bekleriz.","2","4",18271,"absaglam","2026-02-12 14:09:56.297","2026-02-12 14:12:24.063","2026-02-12 12:25:49.987","Mailiniz 5 dakika içerisinde karşıya iletilecektir. Tekrar göndermenize gerek yoktur.","10","3","Mailiniz 5 dakika içerisinde karşıya iletilecektir. Tekrar göndermenize gerek yoktur.","absaglam",NULL,NULL
1313696,"2","3",5768,"yetki tanımlama","merhaba,
ekteki mail veriye takılmış olup müşteri tmsf ye devrolmuş olup kayyuma mail gönderilmesi gerekmektedir. istisna tanımlama için yardımlarınızı bekleriz. meltemn@tmsf.org.tr, 

finans@assangroup.com.tr","2","4",18271,"absaglam","2026-02-12 14:06:33.74","2026-02-12 14:33:27.323","2026-02-12 12:24:10.883","Mailiniz 5 dakika içerisinde karşıya iletilecektir. Tekrar göndermenize gerek yoktur.","10","3","Mailiniz 5 dakika içerisinde karşıya iletilecektir. Tekrar göndermenize gerek yoktur.","absaglam",NULL,NULL
1313705,"2","3",5768,"mail gönderme hk.","merhaba,

Proforma teyidi için müşavirlik firmasına mail atmaktayım ekte proforma olduğu için hata almaktayım.


Konu husuusnda yardımcı olabilir misiniz ?","2","4",18271,"absaglam","2026-02-12 14:05:39.367","2026-02-12 14:06:28.007","2026-02-12 12:56:14.47","Mailiniz 5 dakika içerisinde karşıya iletilecektir. Tekrar göndermenize gerek yoktur.","10","3","Mailiniz 5 dakika içerisinde karşıya iletilecektir. Tekrar göndermenize gerek yoktur.","absaglam",NULL,NULL
1313707,"2","3",5768,"İSTİSNA","Merhaba,
713369 müşteri nolu müşterimiz hesap ekstresini pdf formatında wp iletmemi istemektedir.
İşinden dolayı şubeye gelip teslim alamamaktadır.
İstisna tanımlama hususunda yardımlarınızı rica ederim.","2","4",21474,"absaglam","2026-02-12 14:04:06.767","2026-02-12 14:20:41.457","2026-02-12 13:00:18.473","Talebiniz uygun görülmemiştir. İstisna durumları hariç hesap ektreleri bilgi güvenliği politikaları gereği sadece BOA üzerinden gönderilmesi gerekmektedir","10","3","Talebiniz uygun görülmemiştir. İstisna durumları hariç hesap ektreleri bilgi güvenliği politikaları gereği sadece BOA üzerinden gönderilmesi gerekmektedir","absaglam",NULL,NULL
1313714,"2","3",5768,"Mail gönderilmesi","Merhaba , 

Mail araç bayisine kredi onay yazısıdır. 

İvedi onay verilmesini rica arz ederiz.","2","4",18271,"hatasoy","2026-02-12 13:58:56.587","2026-02-12 14:02:07.167","2026-02-12 13:38:02.46","Mailiniz 5 dakika içerisinde karşıya iletilecektir. Tekrar göndermenize gerek yoktur.
","10","3","Mailiniz 5 dakika içerisinde karşıya iletilecektir. Tekrar göndermenize gerek yoktur.
","hatasoy",NULL,NULL
1313556,"2","3",5768,"Veri koruma sistemi hk.","Merhaba ,

Kuruma gelen resmi yazıları çıktı alıp Dava Danışma ekibine iletmem gerekiyor ancak çıktı alma konusunda problem yaşıyorum. Gerekli güncellemenin yapılması için yardımlarınızı rica ederim.","3","4",18271,"absaglam","2026-02-12 12:01:05.09","2026-02-12 12:04:55.27","2026-02-12 09:13:27.44","Merhaba,
Aşağıdaki linkte yer alan ""DLP Ajanı Nasıl Güncellenir?"" başlığındaki adımları uyguladıktan sonra işlemi yeniden yapmayı dener misiniz?
https://bilge.kuveytturk.com.tr/genel/24374-dlp-forcepoint-one-endpoint","10","3","Merhaba,
Aşağıdaki linkte yer alan ""DLP Ajanı Nasıl Güncellenir?"" başlığındaki adımları uyguladıktan sonra işlemi yeniden yapmayı dener misiniz?
https://bilge.kuveytturk.com.tr/genel/24374-dlp-forcepoint-one-endpoint","absaglam",NULL,NULL
1313640,"2","3",5768,"Mutabakat taleplerine cevap","BOSNA BANK INTERNATIONAL DD  - SARAJEVO Tarafına ve Bağımsız denetim ekiplerinin taleplerine istinaden dekont ve ekran görüntüleri paylaşılmaktadır. Veri Hassasiyeti talep etmekteyiz. İvedi gönderilmesi gereken bir belge olduğundan desteklerinizi rica ediyoruz.","2","4",18271,"absaglam","2026-02-12 11:53:40.767","2026-02-12 14:18:44.24","2026-02-12 10:58:06.823","Mailiniz 5 dakika içerisinde karşıya iletilecektir. Tekrar göndermenize gerek yoktur.","10","3","Mailiniz 5 dakika içerisinde karşıya iletilecektir. Tekrar göndermenize gerek yoktur.","absaglam",NULL,NULL
1313665,"2","3",5768,"splgecici klasörüne kopyalama - ivedi talep","Merhabalar,

Masak denetçisi için gereken dosyaları kopyalarken divitte de görebileceğiniz ""Veri Tabanı Dosya Gönderimi - Güvenlik Bilgilendirmesi"" engeline takılıyor. Bu ve benzeri geçici klasörüne kopyalama engelleri için ivedi olarak bana ve diğer Uyum güvence ve İş Geliştirme servisi çalışanlarına istisna tanımlaması gerekmektedir.  Denetçi beklediği için konu aciliyet teşkil etmektedir. 
Desteklerinizi bekleriz.","2","4",18271,"absaglam","2026-02-12 11:49:04.49","2026-02-12 11:52:42.4","2026-02-12 11:27:55.867","Merhaba,
Aşağıdaki linkte yer alan ""DLP Ajanı Nasıl Güncellenir?"" başlığındaki adımları uyguladıktan sonra işlemi yeniden yapmayı dener misiniz?
https://bilge.kuveytturk.com.tr/genel/24374-dlp-forcepoint-one-endpoint","10","3","Merhaba,
Aşağıdaki linkte yer alan ""DLP Ajanı Nasıl Güncellenir?"" başlığındaki adımları uyguladıktan sonra işlemi yeniden yapmayı dener misiniz?
https://bilge.kuveytturk.com.tr/genel/24374-dlp-forcepoint-one-endpoint","absaglam",NULL,NULL
1313594,"2","3",5768,"Avukatlara gönderilen maillerin sisteme takılması hk.","Merhaba, Servisimiz iş süreçleri gereği sürekli olarak anlaşmalı avukatlarımız(sözleşmeli hukuk büroları) ile mailleşmeler yapmaktadır. Atılan maillerde sözleşmeler, protokoller ve evraklar ekte bulunmaktadır. Ancak son dönemde avukatlarımıza mail göndermek istediğimizde sürekli olarak hata almaktayız veya politika ihlal edildi şeklinde mailler gelmektedir. İşlemlerimiz aksamaktadır, konuyla alakalı olarak ivedi yardımcı olabilir misiniz? Teşekkürler.
Avukatla imzalanan sözleşmeler divittedir.","2","4",18271,"absaglam","2026-02-12 10:55:13.813","2026-02-12 10:56:14.337","2026-02-12 09:57:50.933","Mailiniz 5 dakika içerisinde karşıya iletilecektir. Tekrar göndermenize gerek yoktur.
","10","3","Mailiniz 5 dakika içerisinde karşıya iletilecektir. Tekrar göndermenize gerek yoktur.
","absaglam",NULL,NULL
1311839,"14",NULL,5768,"firmaya anlaşma için sözleşme gönderilecektir","Merhabalar ;

firmaya sözleşme için mail gönderilecektir","2","4",18271,"absaglam","2026-02-06 16:50:49.95","2026-02-06 16:51:45.237","2026-02-06 16:46:35.577","Mailiniz 5 dakika içerisinde karşıya iletilecektir. Tekrar göndermenize gerek yoktur.","10","3","Mailiniz 5 dakika içerisinde karşıya iletilecektir. Tekrar göndermenize gerek yoktur.","absaglam",NULL,NULL
